"Automation naam";"Workflow-ID (HubSpot)";"Pipeline";"Pipeline ID";"Gedetecteerde stage(s)";"Stage ID(s)";"Trigger-type";"Actie-samenvatting";"Status"
"Stap 3.1: LH 2020 juni | verander deal owner in contact owner - ALTIJD AAN ZONDER RE-ENROLMENT (cloned)";"33417497";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hubspot_owner_id' in op '{""propertyName"":""contact_owner_niet_handmatig_veranderen"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"Stap 2.1: LH juni 2020 | deal trigger maakt nieuwe deal aan - ALTIJD AAN ZONDER RE-ENROLMENT (cloned) (cloned)";"33439613";"Onbekend";"";"closedwon (onbekende stage)";"closedwon";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 2818885 | Overige acties: SINGLE_CONNECTION: Schrijf object in voor workflow 33417497";"Actief"
"Stap 4.1: LH 2020 juni | als deal owner veranderd, dan veranderd deal naam - ALTIJD AAN MET RE-ENROLMENT (cloned)";"33439794";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dealname' in op 'LH juni 2020: {{ _0_3.company_name_niet_handmatig_veranderen_deel_van_een_workflow }} | Owner: {{ _0_3.hubspot_owner_id }}'";"Actief"
"Pipeline is ""Inbox"", Ticket status is ""Beantwoord""";"29477283";"Onbekend";"";"2144302 (onbekende stage)";"2144302";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Uitgeschakeld"
"Stap 4.1: LH 2020 september | als deal owner verandert, dan verandert deal naam - ALTIJD AAN MET RE-ENROLMENT";"37241562";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dealname' in op 'LH september 2020: {{ _0_3.company_name_niet_handmatig_veranderen_deel_van_een_workflow }} | Owner: {{ _0_3.hubspot_owner_id }}'";"Actief"
"Kwaliteits niveau lead (cloned)";"157139593";"📁 Klantenbestand (5941173)";"5941173";"Offerte geaccepteerd start (5941263) | Omzet in uitvoering - Dossier nog onvolledig (5941264)";"5941263, 5941264";"onbekend";"Overige acties: LIST_BRANCH: Splits in 1 paden op basis van criteria; SINGLE_CONNECTION: Stel 'kwaliteitsniveau_lead' in op 'Prima lead'; SINGLE_CONNECTION: Stel 'kwaliteitsniveau_lead' in op 'Fout van Ageras'";"Actief"
"Contact naar IB verzonden";"164575117";"Onbekend";"3558202";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hs_priority' in op 'high'";"Actief"
"Software goed zetten in dossier";"1601815447";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: LIST_BRANCH: Splits in 1 paden op basis van criteria; SINGLE_CONNECTION: Stel 'administratiewijze' in op '{""staticAppendValue"":""Boekhoudpakket"",""type"":""STATIC_APPEND_VALUE""}'";"Actief"
"reset";"38516796";"Onbekend";"4937249";"4937254 (onbekende stage)";"4937254";"onbekend";"Overige acties: SINGLE_CONNECTION: Maak of update deal met velden: hubspot_owner_id, dealstage, dealname, closedate";"Uitgeschakeld"
"Deal prio low";"414573424";"BTW - Q4 2023* (68816402)";"68816402";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hs_priority' in op 'low'";"Actief"
"Stap 4.2: LH 2020 september | als company name verandert, dan verandert deal naam - ALTIJD AAN MET RE-ENROLMENT";"37241564";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dealname' in op 'LH september 2020: {{ _0_3.company_name_niet_handmatig_veranderen_deel_van_een_workflow }} | Owner: {{ _0_3.hubspot_owner_id }}'";"Actief"
"Default-dtm van maken van afspraak";"190144939";"📈 Sales Pipeline (802700718)";"802700718";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dtm_van_maken_van_afspraak' in op '-2208988800000'";"Actief"
"Stap 4.2: OB 2020 Q2 | als company name veranderd, dan veranderd deal naam - ALTIJD AAN MET RE-ENROLMENT";"31074745";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dealname' in op 'OB 2020 Q2: {{ _0_3.company_name_niet_handmatig_veranderen_deel_van_een_workflow }} | Owner: {{ _0_3.hubspot_owner_id }}'";"Uitgeschakeld"
"Stap 3.1: IB 2019 | verander deal owner in contact owner - ALTIJD AAN ZONDER RE-ENROLMENT";"32344537";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hubspot_owner_id' in op '{""propertyName"":""contact_owner_niet_handmatig_veranderen"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"Stap 3.1: LH 2020 september | verander deal owner in contact owner - ALTIJD AAN ZONDER RE-ENROLMENT";"37241694";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hubspot_owner_id' in op '{""propertyName"":""contact_owner_niet_handmatig_veranderen"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"Stap 4.1: OB 2020 Q3 | als deal owner veranderd, dan veranderd deal naam - ALTIJD AAN MET RE-ENROLMENT";"37239158";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dealname' in op 'OB 2020 Q3: {{ _0_3.company_name_niet_handmatig_veranderen_deel_van_een_workflow }} | Owner: {{ _0_3.hubspot_owner_id }}'";"Uitgeschakeld"
"Stap 4.1: LH 2020 augustus | als deal owner verandert, dan verandert deal naam - ALTIJD AAN MET RE-ENROLMENT";"37240478";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dealname' in op 'LH augustus 2020: {{ _0_3.company_name_niet_handmatig_veranderen_deel_van_een_workflow }} | Owner: {{ _0_3.hubspot_owner_id }}'";"Actief"
"Bankkoppeling - Stuur reminder";"472004617";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Send email";"Uitgeschakeld"
"Stap 3.1: VPB 2019 | verander deal owner in contact owner - ALTIJD AAN ZONDER RE-ENROLMENT";"32345208";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hubspot_owner_id' in op '{""propertyName"":""contact_owner_niet_handmatig_veranderen"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"Company name change";"38211489";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://enxhg00i95hq571.m.pipedream.net";"Uitgeschakeld"
"Pipeline is ""Inbox"", Ticket status is ""Doorgestuurd""";"32865245";"Onbekend";"";"2530180 (onbekende stage)";"2530180";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Uitgeschakeld"
"Pipeline is ""Droomstarters"", deal stage is ""Mail Verstuurd""";"44587456";"Droomstarters (7793418)";"7793418";"Mail Verstuurd (7793419)";"7793419";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Uitgeschakeld"
"Update Onboarding Typeform status for accepted deals";"1656807343";"📁 Klantenbestand (5941173)";"5941173";"Offerte geaccepteerd start - met BTW (1028125851) | Offerte geaccepteerd start (5941263)";"1028125851, 5941263";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'onboarding_typeform' in op 'Verstuurd'";"Actief"
"default-Won DTM";"164532896";"📈 Sales Pipeline (802700718)";"802700718";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'won_dtm' in op '-2208988800000'";"Actief"
"Deal Owner Change";"38215757";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://eo3yotzw70csrmt.m.pipedream.net";"Uitgeschakeld"
"Stap 4.2: LH 2020 augustus | als company name verandert, dan verandert deal naam - ALTIJD AAN MET RE-ENROLMENT";"37240481";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dealname' in op 'LH augustus 2020: {{ _0_3.company_name_niet_handmatig_veranderen_deel_van_een_workflow }} | Owner: {{ _0_3.hubspot_owner_id }}'";"Actief"
"Contact Owner Change";"38216481";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://encvxx3ghygyt1.m.pipedream.net";"Uitgeschakeld"
"[TJILP] Calendly trigger - terugbelafspraak - geen gehoor";"39915727";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 5941176";"Uitgeschakeld"
"Update deal stage for monthly customers in the pipeline (BTW - Q1 2025)";"1645386809";"BTW - Q1 2025* (662474244)";"662474244";"Open* (972936369)";"972936369";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 1049458960";"Actief"
"Bankkoppeling - Machtiging uitvragen";"472027153";"Bankkoppeling (54869673)";"54869673";"Bankkoppeling inactief (110283891)";"110283891";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 110264841 | Overige acties: SINGLE_CONNECTION: Send email";"Uitgeschakeld"
"set source to Offerte.nl eenmalig";"503843674";"📁 Klantenbestand (5941173)";"5941173";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'lead_source_wiecher' in op 'Organic'";"Uitgeschakeld"
"[Offerte.nl-sheet] Nieuw contact vanuit offerte.nl-sheet";"47309511";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Maak of update deal met velden: hubspot_owner_id, dealstage, dealname, amount";"Uitgeschakeld"
"Dtm Eerste Bel Moment";"142736420";"📁 Klantenbestand (5941173)";"5941173";"5839630 (onbekende stage) | 5941260 (onbekende stage) | 5941180 (onbekende stage) | 24077111 (onbekende stage) | Offerte geaccepteerd start (5941263) | 5941175 (onbekende stage) | Nieuwe deals - bestaande klanten (5941174)";"5839630, 5941260, 5941180, 24077111, 5941263, 5941175, 5941174";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dtm_eerste_telefoongesprek' in op 'de datum waarop deze actie wordt uitgevoerd'";"Actief"
"Stap 2.1: LH juli 2020 | deal trigger maakt nieuwe deal aan - ALTIJD AAN ZONDER RE-ENROLMENT (cloned)";"32583267";"Onbekend";"";"closedwon (onbekende stage)";"closedwon";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 2235864 | Overige acties: SINGLE_CONNECTION: Schrijf object in voor workflow 32583271";"Actief"
"set source to Offerte.nl eenmalig (cloned) 2";"503896884";"📁 Klantenbestand (5941173)";"5941173";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'lead_source_wiecher' in op 'Organic'";"Uitgeschakeld"
"JR status 2023 uit VPB pipeline";"536328727";"VPB - 2023* (74075201)";"74075201";"Aangifte verzonden (142382762) | Factuur verzonden (142382761) | Gedeponeerd (142382764) | Kan gedeponeerd worden (142382763) | Aangifte naar klant (142272147) | in Fiscaal Online (142272146)";"142382762, 142382761, 142382764, 142382763, 142272147, 142272146";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'jaarrekening_2023_gereed' in op 'JR gereed'";"Actief"
"HUBSPOT TEST Reminder follow-up e-mail (cloned)";"151819678";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: LIST_BRANCH: Splits in 3 paden op basis van criteria; SINGLE_CONNECTION: Send internal email notification: Reminder";"Uitgeschakeld"
"Jaarlijkse klanten nieuwsbrief augustus";"106388151";"📁 Klantenbestand (5941173)";"5941173";"Omzet in uitvoering - Dossier nog onvolledig (5941264)";"5941264";"onbekend";"Overige acties: SINGLE_CONNECTION: Delay until 09:00; SINGLE_CONNECTION: Send internal email notification: Nieuwsbrief naar Jaarlijkse Klanten";"Actief"
"Pipeline is ""BTW Q4 2022"", deal stage is ""Open""";"303514220";"Onbekend";"20709408";"49975826 (onbekende stage)";"49975826";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Uitgeschakeld"
"JR prio van uit IB 2023";"536357813";"Jaarrekening - 2023* (68883520)";"68883520";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hs_priority' in op 'high'";"Actief"
"JR status 2023 uit IB pipeline";"536368564";"Inkomstenbelasting - 2023* (70094380)";"70094380";"Aangifte in Fiscaal Online (135846499) | Aangifte en factuur verzonden (135846500) | Akkoord en ingediend (135846501)";"135846499, 135846500, 135846501";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'jaarrekening_2023_gereed' in op 'JR gereed'";"Actief"
"Default -Unieke Klant";"164530279";"📈 Sales Pipeline (802700718)";"802700718";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'unieke_klant' in op 'Uniek'";"Actief"
"Datum eerste contact";"122934648";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Uitgeschakeld"
"Default-DTM derde gemiste telefoon gesprek";"164533005";"📈 Sales Pipeline (802700718)";"802700718";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dtm_derde_bel_moment' in op '-2208988800000'";"Actief"
"JR naar q1-q4 geboekt 2023";"536897883";"Jaarrekening - 2023* (68883520)";"68883520";"Geen stage gedetecteerd";"";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 133728932";"Actief"
"JR status Q4 2023 niet af";"536943416";"BTW - Q4 2023* (68816402)";"68816402";"Factuur en mail verzonden alleen BTW (133660562)";"133660562";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'jaarrekening_2023_gereed' in op 'JR niet gereed'";"Actief"
"Jaarlijkse klanten nieuwsbrief mei";"106418844";"📁 Klantenbestand (5941173)";"5941173";"Omzet in uitvoering - Dossier nog onvolledig (5941264)";"5941264";"onbekend";"Overige acties: SINGLE_CONNECTION: Delay until 09:00; SINGLE_CONNECTION: Send internal email notification: Nieuwsbrief naar Jaarlijkse Klanten";"Actief"
"Name Change of Contact";"577790018";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://composed-month-production.up.railway.app/operations/hubspot/contact/updating_dealname";"Actief"
"JR goedplaatsen Klant is Nieuw ";"571239966";"Jaarrekening - 2023* (68883520)";"68883520";"Open* (133728929)";"133728929";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 168128679 | Overige acties: SINGLE_CONNECTION: Stel 'hs_priority' in op 'low'";"Actief"
"Put deals in correct BTW stage based on Bankkoppeling Status  (HubSpot 592552865)";"592552865";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 191737160; SINGLE_CONNECTION zet dealstage naar 191737159; SINGLE_CONNECTION zet dealstage naar 191737158 | Overige acties: LIST_BRANCH: Splits in 2 paden op basis van criteria";"Uitgeschakeld"
"DTM afspraak";"149404974";"Onbekend";"";"112417868 (onbekende stage) | 5941262 (onbekende stage)";"112417868, 5941262";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dtm_eerste_fysieke_afspraak' in op 'de datum waarop deze actie wordt uitgevoerd'";"Actief"
"set source to organic";"430053771";"📁 Klantenbestand (5941173)";"5941173";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'lead_source_wiecher' in op 'Organic'";"Actief"
"Stop Date";"145756551";"📁 Klantenbestand (5941173)";"5941173";"Klant- geen contact (963342670) | Klant haakt af (1514835)";"963342670, 1514835";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'stop_dtm' in op 'de datum waarop deze actie wordt uitgevoerd'";"Actief"
"Deal prio medium BTW q2 2024 (cloned)";"591326586";"BTW - Q2 2024* (106051679)";"106051679";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hs_priority' in op 'medium'";"Actief"
"Forecast Probability Mapping for Pipeline: Inkomstenbelasting - 2020";"75421827";"Onbekend";"8512009";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: LIST_BRANCH: Splits in 5 paden op basis van criteria; SINGLE_CONNECTION: Stel 'hs_forecast_probability' in op '0.0'; SINGLE_CONNECTION: Stel 'hs_forecast_probability' in op '1.0'";"Uitgeschakeld"
"Op afspraak geweest 2";"149397779";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dtm_eerste_fysieke_afspraak' in op 'de datum waarop deze actie wordt uitgevoerd'; SINGLE_CONNECTION: Stel 'op_afspraak_geweest' in op 'true'";"Uitgeschakeld"
"Set Ageras offertebedrag";"121077652";"📁 Klantenbestand (5941173)";"5941173";"Nieuwe deals - bestaande klanten (5941174)";"5941174";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'ageras_offertebedrag' in op '{""propertyName"":""amount"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"Taal sync vanuit contact naar sales pipeline";"153463832";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'voertaal' in op '{""propertyName"":""taal2"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"Enroll contacts when Klippa nodig is No";"1656807783";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'klippa' in op 'nvt'";"Actief"
"DTM eerste gemiste telefoon gesprek";"149895065";"📈 Sales Pipeline (802700718)";"802700718";"Geen gehoor 1. (1180703134)";"1180703134";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dtm_eerste_gemiste_telefoon_gesprek' in op 'de datum waarop deze actie wordt uitgevoerd'";"Actief"
"Afspraak gemist 2";"149350723";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dtm_gemiste_fysieke_afspraak' in op 'de datum waarop deze actie wordt uitgevoerd'";"Actief"
"set source to Offerte.nl eenmalig (cloned)";"503922801";"📁 Klantenbestand (5941173)";"5941173";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'lead_source_wiecher' in op 'Offerte.nl'";"Uitgeschakeld"
"Jaarlijkse klanten nieuwsbrief februari ";"106423304";"📁 Klantenbestand (5941173)";"5941173";"Omzet in uitvoering - Dossier nog onvolledig (5941264)";"5941264";"onbekend";"Overige acties: SINGLE_CONNECTION: Delay until 09:00; SINGLE_CONNECTION: Send internal email notification: Nieuwsbrief naar Jaarlijkse Klanten";"Actief"
"Openstaand Factuur";"1606906949";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Delay for 7 days; LIST_BRANCH: Splits in 1 paden op basis van criteria; SINGLE_CONNECTION: Send email";"Uitgeschakeld"
"Move deal based on jaarrekening prioriteit property - Dynamic";"1639801486";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 1033474669; SINGLE_CONNECTION zet dealstage naar 1033474670 | Overige acties: LIST_BRANCH: Splits in 2 paden op basis van criteria";"Actief"
"Default-tweede gemiste telefoon gesprek";"164532906";"📈 Sales Pipeline (802700718)";"802700718";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dtm_tweede_bel_moment' in op '-2208988800000'";"Actief"
"Line items ontbreken";"167430055";"📁 Klantenbestand (5941173)";"5941173";"Offerte geaccepteerd start (5941263) | Omzet in uitvoering - Dossier nog onvolledig (5941264)";"5941263, 5941264";"onbekend";"Overige acties: SINGLE_CONNECTION: Send internal email notification: Line items ontbreken";"Actief"
"Software Jaarcontrole pipeline bewegen ";"1606842145";"BTW - Q2024 Check* (642376248)";"642376248";"Taak toegewezen (947150676) | Open* (947150675)";"947150676, 947150675";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 951696757";"Actief"
"Copy moeilijkheidsgraad from company to deal (cloned)";"1607217739";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'moeilijkheidsgraad' in op '{""propertyName"":""moeilijkheidsgraad"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"Contact naar VPB verzonden";"164576879";"Onbekend";"3558564";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hs_priority' in op 'high'";"Actief"
"Geen Taal in Contact- Melding";"249135998";"📁 Klantenbestand (5941173)";"5941173";"Offerte geaccepteerd start (5941263) | Omzet in uitvoering - Dossier nog onvolledig (5941264)";"5941263, 5941264";"onbekend";"Overige acties: SINGLE_CONNECTION: Send internal email notification: Geen Taal in Contact";"Actief"
"Stap 1.2: als company name bekend wordt, dan dit invullen in property deal - ALTIJD AAN MET RE-ENROLMENT";"31084098";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'company_name_niet_handmatig_veranderen_deel_van_een_workflow' in op '{""propertyName"":""name"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"Pipeline is ""Inbox"", Ticket status is ""In process""";"29476233";"Onbekend";"";"2 (onbekende stage)";"2";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Uitgeschakeld"
"Pipeline is ""BTW - Q3 2022*"", deal stage is ""Open*""";"304074580";"Onbekend";"11508353";"34048046 (onbekende stage)";"34048046";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Uitgeschakeld"
"Remove company from portal";"595728772";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://dinnka-production.up.railway.app/v2/administrations/offboard/hubspot/";"Uitgeschakeld"
"JR status 2022 uit IB pipeline";"380302981";"Onbekend";"";"34391429 (onbekende stage) | 34391430 (onbekende stage) | 34391431 (onbekende stage) | 61241905 (onbekende stage) | 34277905 (onbekende stage) | 34391427 (onbekende stage)";"34391429, 34391430, 34391431, 61241905, 34277905, 34391427";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'jaarrekening_2022_gereed' in op 'JR gereed'";"Uitgeschakeld"
"Termijn pakketklanten";"190168626";"Pakket Klanten (4485237)";"4485237";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: LIST_BRANCH: Splits in 3 paden op basis van criteria; SINGLE_CONNECTION: Stel 'customer_service' in op 'Wekelijks'; SINGLE_CONNECTION: Stel 'customer_service' in op '2 wekelijks'; SINGLE_CONNECTION: Stel 'customer_service' in op 'Maandelijks'";"Uitgeschakeld"
"Copy moeilijkheids graad van dossier naar company";"617822874";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'moeilijkheidsgraad' in op '{""propertyName"":""moeilijkheidsgraad"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"Stap 2.1: LH augustus 2020 | deal trigger maakt nieuwe deal aan - ALTIJD AAN ZONDER RE-ENROLMENT";"37240562";"Onbekend";"";"closedwon (onbekende stage) | 4381242 (onbekende stage)";"closedwon, 4381242";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 4757176 | Overige acties: SINGLE_CONNECTION: Schrijf object in voor workflow 37240473";"Actief"
"Deal modified (Contact & Company)";"40406761";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://eoqyqhopba30xe2.m.pipedream.net";"Uitgeschakeld"
"Moeilijkheids graad copy van company naar deal";"1607136322";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'moeilijkheidsgraad' in op '{""propertyName"":""moeilijkheidsgraad"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"JR Nieuwe klant Prio";"571875714";"Jaarrekening - 2023* (68883520)";"68883520";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hs_priority' in op 'low'";"Actief"
"Revert betaalt niet when deal leaves ""Betaalt niet"" in sales pipeline";"1671688508";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://composed-month-production.up.railway.app/operations/hubspot/reset_betaalt_niet; SINGLE_CONNECTION: Stel 'vorige_stage' in op ''";"Actief"
"Jaarlijkse klanten nieuwsbrief november";"106416524";"📁 Klantenbestand (5941173)";"5941173";"Omzet in uitvoering - Dossier nog onvolledig (5941264)";"5941264";"onbekend";"Overige acties: SINGLE_CONNECTION: Delay until 09:00; SINGLE_CONNECTION: Send internal email notification: Nieuwsbrief naar Jaarlijkse Klanten";"Actief"
"JR status 2022 uit JR pipeline ";"399359796";"Onbekend";"";"57306719 (onbekende stage) | 51914369 (onbekende stage)";"57306719, 51914369";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'jaarrekening_2022_gereed' in op 'JR gereed'";"Uitgeschakeld"
"Deal prio medium";"414564243";"BTW - Q4 2023* (68816402)";"68816402";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hs_priority' in op 'medium'";"Actief"
"Put deals in correct BTW stage based on Bankkoppeling Status";"589479738";"BTW - Q2 2024* (106051679)";"106051679";"Open* (191737158)";"191737158";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 191737160; SINGLE_CONNECTION zet dealstage naar 191737159 | Overige acties: LIST_BRANCH: Splits in 2 paden op basis van criteria";"Uitgeschakeld"
"Move JR deals based on priority from IB";"1686608443";"👤 Inkomstenbelasting (749749904)";"749749904";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://composed-month-production.up.railway.app/properties/jr_prio_from_ib";"Actief"
"Add Deals for Bankkoppeling";"472175511";"Onbekend";"";"83794234 (onbekende stage) | 83794233 (onbekende stage) | 83794232 (onbekende stage)";"83794234, 83794233, 83794232";"onbekend";"Overige acties: SINGLE_CONNECTION: Maak of update deal met velden: hubspot_owner_id, dealstage, dealname";"Actief"
"Move JR deal based on Jaarrekening company property - dynamic";"1617887756";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 235223623; SINGLE_CONNECTION zet dealstage naar 253060782 | Overige acties: LIST_BRANCH: Splits in 2 paden op basis van criteria";"Actief"
"Set betaalt niet";"1667523927";"📁 Klantenbestand (5941173)";"5941173";"Betaalt niet (1028125854)";"1028125854";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://composed-month-production.up.railway.app/operations/hubspot/betaalt_niet; SINGLE_CONNECTION: Stel 'vorige_stage' in op '1028125854'";"Actief"
"Stap 2.1: VPB 2019 | deal trigger maakt nieuwe deal aan - ALTIJD AAN ZONDER RE-ENROLMENT";"32358747";"Onbekend";"";"4381242 (onbekende stage) | closedwon (onbekende stage)";"4381242, closedwon";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 2235923 | Overige acties: SINGLE_CONNECTION: Schrijf object in voor workflow 32345208";"Actief"
