"Automation naam";"Workflow-ID (HubSpot)";"Pipeline";"Pipeline ID";"Gedetecteerde stage(s)";"Stage ID(s)";"Trigger-type";"Actie-samenvatting";"Status"
"Set intensiteit based on line items";"1696425999";"📁 Klantenbestand (5941173)";"5941173";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://composed-month-development.up.railway.app/properties/update_intensiteit_from_deal";"Uitgeschakeld"
"Copy Jaarklant helper to Jaarklant ";"1697531651";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: LIST_BRANCH: Splits in 2 paden op basis van criteria; SINGLE_CONNECTION: Stel 'jaarklant' in op 'true'; SINGLE_CONNECTION: Stel 'jaarklant' in op 'false'; SINGLE_CONNECTION: Stel 'jaarklant' in op ''";"Actief"
"Set company intensiteit based on deal line item list";"1697511609";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: LIST_BRANCH: Splits in 3 paden op basis van criteria; SINGLE_CONNECTION: Stel 'intensiteit' in op 'Jaarlijks'; SINGLE_CONNECTION: Stel 'intensiteit' in op 'Per kwartaal'; SINGLE_CONNECTION: Stel 'intensiteit' in op 'Maandelijks'; SINGLE_CONNECTION: Stel 'intensiteit' in op 'Wekelijks'";"Actief"
"VA IB ingediend -> IB deal property aanpassen";"1732519443";"🧾👤 Voorlopige Aanslag IB (827192628)";"827192628";"Verzonden naar Belastingdienst (1224141477)";"1224141477";"onbekend";"Overige acties: WEBHOOK: Markeer op de IB-deal dat de VA IB is ingediend";"Actief"
"Overnemen Pakketdetails van deal naar company";"1765676439";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'pakketdetails' in op '{{ enrolled_object.pakketdetails }}'";"Actief"
"IB prio gebaseerd op JR 2023";"536333753";"Inkomstenbelasting - 2023* (70094380)";"70094380";"Gegevens ontvangen GEEN VIG (135803308) | Open* (135803307) | Gegevens compleet (VIG + uitvraag) (135803309)";"135803308, 135803307, 135803309";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hs_priority' in op 'high'";"Actief"
"Alle companies zonder JR = JR Niet nodig";"1617635417";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: LIST_BRANCH: Splits in 1 paden op basis van criteria; SINGLE_CONNECTION: Stel 'jaarrekening_2024' in op 'Geen JR Nodig'";"Actief"
"Ophalen KvK gegevens";"1783234581";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://composed-month-production.up.railway.app/kvk/hubspot/sync_company";"Actief"
"JR New Deal Priority 2024";"613877511";"Jaarrekening - 2024* (136666296)";"136666296";"Open* (235354027)";"235354027";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hs_priority' in op 'low'";"Uitgeschakeld"
"Contact Name Change";"40232425";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://en9z5vye8mobx8k.m.pipedream.net; WEBHOOK: Webhook -> https://ens3y5b2799s2tc.m.pipedream.net";"Uitgeschakeld"
"[TJILP] Nieuw contact vanuit TJILP";"39678732";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Maak of update deal met velden: hubspot_owner_id, dealstage, dealname, amount";"Actief"
"Move to Bankkoppeling actief stage";"548555668";"BTW - Q1 2024* (90380918)";"90380918";"Open* (167268250)";"167268250";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 167268251";"Actief"
"Geen gehoor 3 - Workflow";"557728343";"Onbekend";"";"4915299 (onbekende stage)";"4915299";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Uitgeschakeld"
"Reminder follow-up e-mail";"149911419";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Uitgeschakeld"
"JR boekers instellen";"1790545719";"👤 Inkomstenbelasting (749749904)";"749749904";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://composed-month-production.up.railway.app/properties/ib/sync_jr_owners_same_year";"Actief"
"Put deals from ""JR JAARKLANT"" to ""GEGEVENS GEREED"" bankkoppeling status voor 2025";"1692220740";"📚 Jaarrekening (746430534)";"746430534";"Zonder BTW (geen jaarklant) (1104468997) | Open* (1086412191) | Deels geboekt (1100468150) | Open nieuwe bedrijven (1147606329) | Zonder BTW (jaarklant) (1086412194) | Zonder BTW (geen jaarklant) (1104468997) | Maakt en levert zelf berekening (1086412193) | Open* (1086412191) | Deels geboekt (1100468150) | Open nieuwe bedrijven (1147606329) | Zonder BTW (jaarklant) (1086412194)";"1104468997, 1086412191, 1100468150, 1147606329, 1086412194, 1104468997, 1086412193, 1086412191, 1100468150, 1147606329, 1086412194";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 1086340936; SINGLE_CONNECTION zet dealstage naar 1310846636 | Overige acties: LIST_BRANCH: Splits in 1 paden op basis van criteria";"Actief"
"Copy type bankkoppeling van contact naar deal";"551403520";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'bankkoppeling__btw_type_informatie' in op '{""propertyName"":""btw_type_informatie"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"JR status 2023 uit BTW Q4";"536364075";"BTW - Q4 2023* (68816402)";"68816402";"Factuur en mail verzonden incl JR (133660564)";"133660564";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'jaarrekening_2023_gereed' in op 'JR gereed'";"Actief"
"Jaarrekening company property aanpassen aan hand van JR pipeline";"1617439913";"Jaarrekening - 2024* (136666296)";"136666296";"Gecontroleerd & Gefactureerd (253060782) | Q1 tot Q4 geboekt (235223623) | Gegevens gereed (235354029) | Berekening compleet (235365432)";"253060782, 235223623, 235354029, 235365432";"onbekend";"Overige acties: LIST_BRANCH: Splits in 4 paden op basis van criteria; SINGLE_CONNECTION: Stel 'jaarrekening_2024' in op 'JR af en gecontroleerd'; SINGLE_CONNECTION: Stel 'jaarrekening_2024' in op 'Gegevens gereed'; SINGLE_CONNECTION: Stel 'jaarrekening_2024' in op 'Q1-Q4 geboekt'; SINGLE_CONNECTION: Stel 'jaarrekening_2024' in op 'Geen gegevens'; SINGLE_CONNECTION: Stel 'jaarrekening_2024' in op 'Geen JR Nodig'";"Actief"
"[Via-via] Nieuw contact vanuit Via-via sheet";"50196563";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Maak of update deal met velden: hubspot_owner_id, dealstage, dealname, amount";"Actief"
"IB prio gebaseerd op JR 2023 En Klant is Nieuw";"571243639";"Inkomstenbelasting - 2023* (70094380)";"70094380";"Gegevens ontvangen GEEN VIG (135803308) | Open* (135803307) | Gegevens compleet (VIG + uitvraag) (135803309)";"135803308, 135803307, 135803309";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hs_priority' in op 'low'";"Actief"
"Forecast amount naar 0";"169461915";"📈 Sales Pipeline (802700718)";"802700718";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'amount' in op '0'";"Actief"
"Copy record ID from dossier to company (for zapier automation)";"1639820211";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dossier_id' in op '{{ enrolled_object.hs_object_id }}'";"Actief"
"Jaarrekening company property aanpassen uit BTW";"1617437494";"BTW - Q4 2024* (662362294)";"662362294";"Alleen Q4 factuur en mail verzonden (972839512) | Betaalt niet (972810057) | JR en Q4 factuur en mail verzonden (979739042) | Geen BTW nodig dit kwartaal (972810058)";"972839512, 972810057, 979739042, 972810058";"onbekend";"Overige acties: LIST_BRANCH: Splits in 2 paden op basis van criteria; SINGLE_CONNECTION: Stel 'jaarrekening_2024' in op 'JR af en gecontroleerd'; SINGLE_CONNECTION: Stel 'jaarrekening_2024' in op 'Q1-Q4 geboekt'; SINGLE_CONNECTION: Stel 'jaarrekening_2024' in op 'Geen gegevens'";"Actief"
"Pipeline is ""Sales Pipeline met Automation"", deal stage is ""Onboarding gesprek """;"565271096";"📁 Klantenbestand (5941173)";"5941173";"Onboarding gesprek  (150121102)";"150121102";"onbekend";"Overige acties: SINGLE_CONNECTION: Create task: Onboarding gesprek";"Uitgeschakeld"
"IB prio gebaseerd op JR";"399485785";"Onbekend";"11562365";"34277902 (onbekende stage) | 34277901 (onbekende stage) | 34277905 (onbekende stage)";"34277902, 34277901, 34277905";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hs_priority' in op 'high'";"Uitgeschakeld"
"Set duur van onboarding ";"1658021291";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: LIST_BRANCH: Splits in 1 paden op basis van criteria; SINGLE_CONNECTION: Stel 'duur_van_onboarding' in op '{""propertyName"":""hs_v2_cumulative_time_in_5941263"",""type"":""OBJECT_PROPERTY""}'; SINGLE_CONNECTION: Stel 'duur_van_onboarding' in op '{""propertyName"":""hs_v2_cumulative_time_in_1028125851"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"loonadministratie deal maken- gebaseerd op omzettingen";"613505187";"Onbekend";"";"46535014 (onbekende stage)";"46535014";"onbekend";"Overige acties: SINGLE_CONNECTION: Maak of update deal met velden: hubspot_owner_id, dealstage, dealname, amount";"Uitgeschakeld"
"Fysieke afspraak gemaakt";"149342866";"📈 Sales Pipeline (802700718)";"802700718";"Fysieke afspraak gemaakt (1180636302)";"1180636302";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'fysieke_afspraak_gemaakt' in op 'true'; SINGLE_CONNECTION: Stel 'dtm_van_maken_van_afspraak' in op 'de datum waarop deze actie wordt uitgevoerd'";"Actief"
"Default- DTM eerste gemiste telefoon gesprek";"164532901";"📈 Sales Pipeline (802700718)";"802700718";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dtm_eerste_gemiste_telefoon_gesprek' in op '-2208988800000'";"Actief"
"JR status 2023 uit JR pipeline";"536358467";"Jaarrekening - 2023* (68883520)";"68883520";"JR Compleet (133728934) | JR Gecontroleerd & gefactureerd (133725005)";"133728934, 133725005";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'jaarrekening_2023_gereed' in op 'JR gereed'";"Actief"
"Default- DTM mail verstuurd";"164533009";"📈 Sales Pipeline (802700718)";"802700718";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dtm_vervolg_email' in op '-2208988800000'";"Actief"
"q1-q4 geboekt goed plaatsen";"326236783";"Onbekend";"21715880";"Geen stage gedetecteerd";"";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 57306717";"Uitgeschakeld"
"JR 2024 manual trigger";"613984418";"Jaarrekening - 2024* (136666296)";"136666296";"Gecontroleerd & Gefactureerd (253060782)";"253060782";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'jr_gereed_2024' in op 'true'";"Actief"
"Jaarcontrole 2024 nieuwe klanten";"1606841758";"BTW - Q2024 Check* (642376248)";"642376248";"Geen stage gedetecteerd";"";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 951755687";"Actief"
"Deal prio high BTW q2 2024";"591326083";"BTW - Q2 2024* (106051679)";"106051679";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hs_priority' in op 'high'";"Actief"
"VA VPB ingediend -> VPB deal property aanpassen";"1732581911";"🧾🏢 Voorlopige Aanslag VPB (827192629)";"827192629";"Verzonden naar Belastingdienst (1227519901)";"1227519901";"onbekend";"Overige acties: WEBHOOK: Markeer op de VPB-deal dat de VA VPB is ingediend";"Actief"
